Year,Starfsgrein,Value
1997,Lyfjatæknar,
1998,Lyfjatæknar,
1999,Lyfjatæknar,
2000,Lyfjatæknar,
2001,Lyfjatæknar,
2002,Lyfjatæknar,
2003,Lyfjatæknar,
2004,Lyfjatæknar,
2005,Lyfjatæknar,
2006,Lyfjatæknar,
2007,Lyfjatæknar,
2008,Lyfjatæknar,1846.0
2009,Lyfjatæknar,1836.0
2010,Lyfjatæknar,1841.0
2011,Lyfjatæknar,1775.0
2012,Lyfjatæknar,1963.0
2013,Lyfjatæknar,
2014,Lyfjatæknar,
2015,Lyfjatæknar,
2016,Lyfjatæknar,
2017,Lyfjatæknar,
2018,Lyfjatæknar,
1981,Læknar,456.0
1982,Læknar,443.0
1983,Læknar,437.0
1984,Læknar,419.0
1985,Læknar,387.0
1986,Læknar,386.0
1987,Læknar,372.0
1988,Læknar,373.0
1989,Læknar,357.0
1990,Læknar,352.0
1991,Læknar,354.0
1992,Læknar,340.0
1993,Læknar,340.0
1994,Læknar,335.0
1995,Læknar,331.0
1996,Læknar,322.0
1997,Læknar,308.0
1998,Læknar,303.0
1999,Læknar,297.0
2000,Læknar,293.0
2001,Læknar,289.0
2002,Læknar,280.0
2003,Læknar,278.0
2004,Læknar,278.0
2005,Læknar,280.0
2006,Læknar,281.0
2007,Læknar,280.0
2008,Læknar,276.0
2009,Læknar,273.0
2010,Læknar,279.0
2011,Læknar,286.0
2012,Læknar,282.0
2013,Læknar,279.0
2014,Læknar,276.0
2015,Læknar,266.0
2016,Læknar,262.0
2017,Læknar,262.0
2018,Læknar,260.0
1981,Sjúkraþjálfarar,2609.0
1982,Sjúkraþjálfarar,2309.0
1983,Sjúkraþjálfarar,2337.0
1984,Sjúkraþjálfarar,2022.0
1985,Sjúkraþjálfarar,1821.0
1986,Sjúkraþjálfarar,1757.0
1987,Sjúkraþjálfarar,1629.0
1988,Sjúkraþjálfarar,1431.0
1989,Sjúkraþjálfarar,1372.0
1990,Sjúkraþjálfarar,1242.0
1991,Sjúkraþjálfarar,1237.0
1992,Sjúkraþjálfarar,1126.0
1993,Sjúkraþjálfarar,1073.0
1994,Sjúkraþjálfarar,1059.0
1995,Sjúkraþjálfarar,992.0
1996,Sjúkraþjálfarar,937.0
1997,Sjúkraþjálfarar,849.0
1998,Sjúkraþjálfarar,828.0
1999,Sjúkraþjálfarar,744.0
2000,Sjúkraþjálfarar,700.0
2001,Sjúkraþjálfarar,691.0
2002,Sjúkraþjálfarar,
2003,Sjúkraþjálfarar,
2004,Sjúkraþjálfarar,716.0
2005,Sjúkraþjálfarar,714.0
2006,Sjúkraþjálfarar,724.0
2007,Sjúkraþjálfarar,701.0
2008,Sjúkraþjálfarar,672.0
2009,Sjúkraþjálfarar,676.0
2010,Sjúkraþjálfarar,673.0
2011,Sjúkraþjálfarar,680.0
2012,Sjúkraþjálfarar,646.0
2013,Sjúkraþjálfarar,632.0
2014,Sjúkraþjálfarar,620.0
2015,Sjúkraþjálfarar,607.0
2016,Sjúkraþjálfarar,603.0
2017,Sjúkraþjálfarar,584.0
2018,Sjúkraþjálfarar,586.0
1981,Sjúkraliðar,255.0
1982,Sjúkraliðar,244.0
1983,Sjúkraliðar,220.0
1984,Sjúkraliðar,215.0
1985,Sjúkraliðar,217.0
1986,Sjúkraliðar,218.0
1987,Sjúkraliðar,209.0
1988,Sjúkraliðar,202.0
1989,Sjúkraliðar,191.0
1990,Sjúkraliðar,185.0
1991,Sjúkraliðar,184.0
1992,Sjúkraliðar,188.0
1993,Sjúkraliðar,183.0
1994,Sjúkraliðar,182.0
1995,Sjúkraliðar,
1996,Sjúkraliðar,
1997,Sjúkraliðar,184.0
1998,Sjúkraliðar,184.0
1999,Sjúkraliðar,186.0
2000,Sjúkraliðar,190.0
2001,Sjúkraliðar,202.0
2002,Sjúkraliðar,196.0
2003,Sjúkraliðar,197.0
2004,Sjúkraliðar,199.0
2005,Sjúkraliðar,187.0
2006,Sjúkraliðar,192.0
2007,Sjúkraliðar,193.0
2008,Sjúkraliðar,160.0
2009,Sjúkraliðar,145.0
2010,Sjúkraliðar,161.0
2011,Sjúkraliðar,163.0
2012,Sjúkraliðar,165.0
2013,Sjúkraliðar,165.0
2014,Sjúkraliðar,166.0
2015,Sjúkraliðar,164.0
2016,Sjúkraliðar,167.0
2017,Sjúkraliðar,174.0
2018,Sjúkraliðar,177.0
1981,Lyfsalar,6110.0
1982,Lyfsalar,6198.0
1983,Lyfsalar,6113.0
1984,Lyfsalar,6015.0
1985,Lyfsalar,5767.0
1986,Lyfsalar,5678.0
1987,Lyfsalar,5757.0
1988,Lyfsalar,5859.0
1989,Lyfsalar,5902.0
1990,Lyfsalar,5815.0
1991,Lyfsalar,6040.0
1992,Lyfsalar,6102.0
1993,Lyfsalar,6164.0
1994,Lyfsalar,6209.0
1995,Lyfsalar,6090.0
1996,Lyfsalar,4998.0
1997,Lyfsalar,4696.0
1998,Lyfsalar,4595.0
1999,Lyfsalar,4501.0
2000,Lyfsalar,4428.0
2001,Lyfsalar,4409.0
2002,Lyfsalar,4653.0
2003,Lyfsalar,4925.0
2004,Lyfsalar,4893.0
2005,Lyfsalar,5355.0
2006,Lyfsalar,5594.0
2007,Lyfsalar,5633.0
2008,Lyfsalar,6142.0
2009,Lyfsalar,5882.0
2010,Lyfsalar,5587.0
2011,Lyfsalar,5417.0
2012,Lyfsalar,5455.0
2013,Lyfsalar,5921.0
2014,Lyfsalar,5308.0
2015,Lyfsalar,5196.0
2016,Lyfsalar,5127.0
2017,Lyfsalar,5124.0
2018,Lyfsalar,5028.0
1981,Geislafræðingar,5277.0
1982,Geislafræðingar,5234.0
1983,Geislafræðingar,4415.0
1984,Geislafræðingar,4627.0
1985,Geislafræðingar,4570.0
1986,Geislafræðingar,4439.0
1987,Geislafræðingar,4196.0
1988,Geislafræðingar,3705.0
1989,Geislafræðingar,3254.0
1990,Geislafræðingar,3239.0
1991,Geislafræðingar,3288.0
1992,Geislafræðingar,3200.0
1993,Geislafræðingar,
1994,Geislafræðingar,
1995,Geislafræðingar,
1996,Geislafræðingar,
1997,Geislafræðingar,3363.0
1998,Geislafræðingar,3490.0
1999,Geislafræðingar,3403.0
2000,Geislafræðingar,3257.0
2001,Geislafræðingar,3412.0
2002,Geislafræðingar,3354.0
2003,Geislafræðingar,3379.0
2004,Geislafræðingar,3336.0
2005,Geislafræðingar,3296.0
2006,Geislafræðingar,3496.0
2007,Geislafræðingar,2948.0
2008,Geislafræðingar,2985.0
2009,Geislafræðingar,2811.0
2010,Geislafræðingar,2769.0
2011,Geislafræðingar,2708.0
2012,Geislafræðingar,2953.0
2013,Geislafræðingar,2857.0
2014,Geislafræðingar,2551.0
